Index,File,Are equals,Size in baserom,Size in other_baserom,Size proportion,Size difference,Bytes different
0,makerom,False,4192,4192,1.0,0,20
1,boot,False,25552,73488,0.348,-47936,22197
2,dmadata,False,24416,24768,0.986,-352,17577
3,Audiobank,False,117344,179648,0.653,-62304,48124
4,Audioseq,False,325248,326272,0.997,-1024,189659
5,Audiotable,False,4590288,4526992,1.014,63296,991374
6,link_animetion,True,2513968,2513968,1.0,0,0
7,icon_item_static,False,559264,564384,0.991,-5120,134905
8,icon_item_24_static,True,46080,46080,1.0,0,0
9,icon_item_field_static,True,47408,47408,1.0,0,0
10,icon_item_dungeon_static,True,7552,7552,1.0,0,0
11,icon_item_gameover_static,False,13056,15488,0.843,-2432,3186
12,icon_item_nes_static,True,56448,56448,1.0,0,0
13,icon_item_ger_static,,60288,,,,
14,icon_item_fra_static,,62592,,,,
15,item_name_static,False,251904,377856,0.667,-125952,111119
16,map_name_static,False,137216,205824,0.667,-68608,72653
17,do_action_static,False,22272,33408,0.667,-11136,6356
18,message_static,True,16768,16768,1.0,0,0
19,message_texture_static,True,4608,4608,1.0,0,0
20,nes_font_static,False,17792,17920,0.993,-128,93
21,nes_message_data_static,False,229648,229664,1.0,-16,217225
22,ger_message_data_static,,244176,,,,
23,fra_message_data_static,,225728,,,,
24,staff_message_data_static,False,3968,3920,1.012,48,1487
25,map_grand_static,True,58192,58192,1.0,0,0
26,map_i_static,True,975120,975120,1.0,0,0
27,map_48x85_static,True,138720,138720,1.0,0,0
28,code,False,1063712,1290032,0.825,-226320,955982
29,ovl_title,False,2496,2960,0.843,-464,2224
30,ovl_select,False,11616,12384,0.938,-768,9492
31,ovl_opening,False,352,336,1.048,16,203
32,ovl_file_choose,False,65312,64192,1.017,1120,54749
33,ovl_kaleido_scope,False,117120,125312,0.935,-8192,95385
34,ovl_player_actor,False,156544,157840,0.992,-1296,136228
35,ovl_map_mark_data,False,27488,27360,1.005,128,1145
36,ovl_En_Test,False,22704,22704,1.0,0,18922
37,ovl_Arms_Hook,False,3424,3600,0.951,-176,2863
38,ovl_Arrow_Fire,False,7872,8128,0.969,-256,6818
39,ovl_Arrow_Ice,False,7904,8160,0.969,-256,6841
40,ovl_Arrow_Light,False,7920,8176,0.969,-256,6721
41,ovl_Bg_Bdan_Objects,False,4816,4976,0.968,-160,4304
42,ovl_Bg_Bdan_Switch,False,5168,5440,0.95,-272,4421
43,ovl_Bg_Bom_Guard,False,544,640,0.85,-96,472
44,ovl_Bg_Bombwall,False,2240,2448,0.915,-208,1889
45,ovl_Bg_Bowl_Wall,False,2432,2688,0.905,-256,2105
46,ovl_Bg_Breakwall,False,3696,3792,0.975,-96,2975
47,ovl_Bg_Ddan_Jd,False,1616,1600,1.01,16,1354
48,ovl_Bg_Ddan_Kd,False,2288,2320,0.986,-32,1955
49,ovl_Bg_Dodoago,False,3392,3520,0.964,-128,2813
50,ovl_Bg_Dy_Yoseizo,False,11600,12528,0.926,-928,10580
51,ovl_Bg_Ganon_Otyuka,False,9792,10304,0.95,-512,8598
52,ovl_Bg_Gate_Shutter,False,1152,1376,0.837,-224,1026
53,ovl_Bg_Gjyo_Bridge,False,1280,1392,0.92,-112,1103
54,ovl_Bg_Gnd_Darkmeiro,False,1984,2192,0.905,-208,1326
55,ovl_Bg_Gnd_Firemeiro,False,1344,1504,0.894,-160,1055
56,ovl_Bg_Gnd_Iceblock,False,4336,4512,0.961,-176,3667
57,ovl_Bg_Gnd_Nisekabe,False,368,368,1.0,0,205
58,ovl_Bg_Gnd_Soulmeiro,False,2144,2288,0.937,-144,1794
59,ovl_Bg_Haka,False,1728,1856,0.931,-128,1475
60,ovl_Bg_Haka_Gate,False,4224,4544,0.93,-320,3718
61,ovl_Bg_Haka_Huta,False,2720,2688,1.012,32,2188
62,ovl_Bg_Haka_Megane,False,1024,1008,1.016,16,784
63,ovl_Bg_Haka_MeganeBG,False,1728,1712,1.009,16,1446
64,ovl_Bg_Haka_Sgami,False,3104,3104,1.0,0,2152
65,ovl_Bg_Haka_Ship,False,2624,2976,0.882,-352,2322
66,ovl_Bg_Haka_Trap,False,5584,5552,1.006,32,4678
67,ovl_Bg_Haka_Tubo,False,2592,2736,0.947,-144,2158
68,ovl_Bg_Haka_Water,False,2016,2240,0.9,-224,1798
69,ovl_Bg_Haka_Zou,False,4592,4560,1.007,32,3812
70,ovl_Bg_Heavy_Block,False,6384,6672,0.957,-288,5498
71,ovl_Bg_Hidan_Curtain,False,2720,3200,0.85,-480,2415
72,ovl_Bg_Hidan_Dalm,False,2128,2112,1.008,16,1646
73,ovl_Bg_Hidan_Firewall,False,1888,2016,0.937,-128,1547
74,ovl_Bg_Hidan_Fslift,False,1232,1200,1.027,32,1035
75,ovl_Bg_Hidan_Fwbig,False,3296,3408,0.967,-112,2856
76,ovl_Bg_Hidan_Hamstep,False,3728,4336,0.86,-608,3237
77,ovl_Bg_Hidan_Hrock,False,2096,2096,1.0,0,1549
78,ovl_Bg_Hidan_Kousi,False,1408,1728,0.815,-320,1228
79,ovl_Bg_Hidan_Kowarerukabe,False,3792,4192,0.905,-400,3172
80,ovl_Bg_Hidan_Rock,False,4336,4480,0.968,-144,3719
81,ovl_Bg_Hidan_Rsekizou,False,3040,3264,0.931,-224,2515
82,ovl_Bg_Hidan_Sekizou,False,5200,5392,0.964,-192,3598
83,ovl_Bg_Hidan_Sima,False,3872,4080,0.949,-208,3350
84,ovl_Bg_Hidan_Syoku,False,1120,1104,1.014,16,915
85,ovl_Bg_Ice_Objects,False,3904,3888,1.004,16,3164
86,ovl_Bg_Ice_Shelter,False,4656,4992,0.933,-336,3883
87,ovl_Bg_Ice_Shutter,False,1136,1120,1.014,16,590
88,ovl_Bg_Ice_Turara,False,2096,2080,1.008,16,1703
89,ovl_Bg_Ingate,False,912,1056,0.864,-144,779
90,ovl_Bg_Jya_1flift,False,1680,1888,0.89,-208,1441
91,ovl_Bg_Jya_Amishutter,False,912,1056,0.864,-144,782
92,ovl_Bg_Jya_Bigmirror,False,2112,2752,0.767,-640,1736
93,ovl_Bg_Jya_Block,False,624,768,0.812,-144,547
94,ovl_Bg_Jya_Bombchuiwa,False,2864,3328,0.861,-464,2418
95,ovl_Bg_Jya_Bombiwa,False,1472,1872,0.786,-400,1266
96,ovl_Bg_Jya_Cobra,False,7456,8320,0.896,-864,6757
97,ovl_Bg_Jya_Goroiwa,False,1920,1872,1.026,48,1552
98,ovl_Bg_Jya_Haheniron,False,2032,2016,1.008,16,1258
99,ovl_Bg_Jya_Ironobj,False,3504,3744,0.936,-240,3012
100,ovl_Bg_Jya_Kanaami,False,944,1120,0.843,-176,813
101,ovl_Bg_Jya_Lift,False,1360,1424,0.955,-64,1136
102,ovl_Bg_Jya_Megami,False,4576,4880,0.938,-304,3832
103,ovl_Bg_Jya_Zurerukabe,False,1712,2096,0.817,-384,1531
104,ovl_Bg_Menkuri_Eye,False,1168,1328,0.88,-160,1010
105,ovl_Bg_Menkuri_Kaiten,False,400,384,1.042,16,293
106,ovl_Bg_Menkuri_Nisekabe,False,336,336,1.0,0,165
107,ovl_Bg_Mizu_Bwall,False,5328,6064,0.879,-736,4639
108,ovl_Bg_Mizu_Movebg,False,4496,4624,0.972,-128,3727
109,ovl_Bg_Mizu_Shutter,False,2048,2192,0.934,-144,1801
110,ovl_Bg_Mizu_Uzu,False,464,464,1.0,0,297
111,ovl_Bg_Mizu_Water,False,3280,3792,0.865,-512,2967
112,ovl_Bg_Mjin,False,992,1088,0.912,-96,860
113,ovl_Bg_Mori_Bigst,False,2352,3136,0.75,-784,2103
114,ovl_Bg_Mori_Elevator,False,2800,3424,0.818,-624,2439
115,ovl_Bg_Mori_Hashigo,False,2240,2816,0.795,-576,1929
116,ovl_Bg_Mori_Hashira4,False,1408,1888,0.746,-480,1253
117,ovl_Bg_Mori_Hineri,False,3280,3696,0.887,-416,2911
118,ovl_Bg_Mori_Idomizu,False,1600,1920,0.833,-320,1372
119,ovl_Bg_Mori_Kaitenkabe,False,1632,1968,0.829,-336,1369
120,ovl_Bg_Mori_Rakkatenjo,False,2416,3232,0.748,-816,2173
121,ovl_Bg_Po_Event,False,7728,7824,0.988,-96,5075
122,ovl_Bg_Po_Syokudai,False,2384,2608,0.914,-224,2039
123,ovl_Bg_Pushbox,False,768,880,0.873,-112,650
124,ovl_Bg_Relay_Objects,False,1968,1936,1.017,32,1621
125,ovl_Bg_Spot00_Break,False,416,416,1.0,0,280
126,ovl_Bg_Spot00_Hanebasi,False,4368,4672,0.935,-304,3726
127,ovl_Bg_Spot01_Fusya,False,672,800,0.84,-128,578
128,ovl_Bg_Spot01_Idohashira,False,3072,3584,0.857,-512,2612
129,ovl_Bg_Spot01_Idomizu,False,784,928,0.845,-144,540
130,ovl_Bg_Spot01_Idosoko,False,528,704,0.75,-176,443
131,ovl_Bg_Spot01_Objects2,False,1216,1312,0.927,-96,859
132,ovl_Bg_Spot02_Objects,False,4944,5248,0.942,-304,4313
133,ovl_Bg_Spot03_Taki,False,2288,2448,0.935,-160,1366
134,ovl_Bg_Spot05_Soko,False,800,784,1.02,16,640
135,ovl_Bg_Spot06_Objects,False,5136,5296,0.97,-160,4270
136,ovl_Bg_Spot07_Taki,False,1472,1696,0.868,-224,1255
137,ovl_Bg_Spot08_Bakudankabe,False,1696,1680,1.01,16,711
138,ovl_Bg_Spot08_Iceblock,False,4160,4480,0.929,-320,3711
139,ovl_Bg_Spot09_Obj,False,1296,1696,0.764,-400,911
140,ovl_Bg_Spot11_Bakudankabe,False,1600,1648,0.971,-48,636
141,ovl_Bg_Spot11_Oasis,False,1840,1952,0.943,-112,1519
142,ovl_Bg_Spot12_Gate,False,1040,1168,0.89,-128,895
143,ovl_Bg_Spot12_Saku,False,1216,1344,0.905,-128,1054
144,ovl_Bg_Spot15_Rrbox,False,3552,3824,0.929,-272,3106
145,ovl_Bg_Spot15_Saku,False,832,992,0.839,-160,720
146,ovl_Bg_Spot16_Bombstone,False,5440,6160,0.883,-720,4657
147,ovl_Bg_Spot16_Doughnut,False,1456,1920,0.758,-464,1293
148,ovl_Bg_Spot17_Bakudankabe,False,1760,2112,0.833,-352,882
149,ovl_Bg_Spot17_Funen,False,592,784,0.755,-192,509
150,ovl_Bg_Spot18_Basket,False,4080,4208,0.97,-128,3310
151,ovl_Bg_Spot18_Futa,False,416,400,1.04,16,316
152,ovl_Bg_Spot18_Obj,False,2256,2752,0.82,-496,2000
153,ovl_Bg_Spot18_Shutter,False,1360,1344,1.012,16,1121
154,ovl_Bg_Sst_Floor,False,1376,1520,0.905,-144,1210
155,ovl_Bg_Toki_Hikari,False,3488,3904,0.893,-416,2895
156,ovl_Bg_Toki_Swd,False,5712,5824,0.981,-112,2683
157,ovl_Bg_Treemouth,False,5712,5856,0.975,-144,4272
158,ovl_Bg_Umajump,False,400,384,1.042,16,301
159,ovl_Bg_Vb_Sima,False,1808,1952,0.926,-144,1539
160,ovl_Bg_Ydan_Hasi,False,1968,2112,0.932,-144,1699
161,ovl_Bg_Ydan_Maruta,False,1760,1744,1.009,16,1373
162,ovl_Bg_Ydan_Sp,False,6000,6160,0.974,-160,5006
163,ovl_Bg_Zg,False,1136,1392,0.816,-256,1002
164,ovl_Boss_Dodongo,False,39648,39984,0.992,-336,34779
165,ovl_Boss_Fd,False,29488,30896,0.954,-1408,25772
166,ovl_Boss_Fd2,False,15664,16896,0.927,-1232,13259
167,ovl_Boss_Ganon,False,139888,142160,0.984,-2272,119854
168,ovl_Boss_Ganon2,False,70384,72672,0.969,-2288,57345
169,ovl_Boss_Ganondrof,False,19824,21456,0.924,-1632,17037
170,ovl_Boss_Goma,False,24448,24816,0.985,-368,19237
171,ovl_Boss_Mo,False,46496,49088,0.947,-2592,38250
172,ovl_Boss_Sst,False,50464,50880,0.992,-416,43851
173,ovl_Boss_Tw,False,77952,80752,0.965,-2800,69407
174,ovl_Boss_Va,False,59376,60560,0.98,-1184,51587
175,ovl_Demo_6K,False,11536,12672,0.91,-1136,10471
176,ovl_Demo_Du,False,14304,14816,0.965,-512,11704
177,ovl_Demo_Ec,False,14432,15008,0.962,-576,11819
178,ovl_Demo_Effect,False,23296,25664,0.908,-2368,20599
179,ovl_Demo_Ext,False,2368,2736,0.865,-368,1988
180,ovl_Demo_Geff,False,2080,2800,0.743,-720,1862
181,ovl_Demo_Gj,False,15536,16192,0.959,-656,12967
182,ovl_Demo_Go,False,3424,3584,0.955,-160,2925
183,ovl_Demo_Gt,False,22016,23696,0.929,-1680,19104
184,ovl_Demo_Ik,False,5392,6368,0.847,-976,4595
185,ovl_Demo_Im,False,16240,17056,0.952,-816,13546
186,ovl_Demo_Kankyo,False,15504,16640,0.932,-1136,13259
187,ovl_Demo_Kekkai,False,4832,5264,0.918,-432,4211
188,ovl_Demo_Sa,False,11040,11728,0.941,-688,9107
189,ovl_Demo_Shd,False,9232,9360,0.986,-128,6063
190,ovl_Demo_Tre_Lgt,False,1808,2096,0.863,-288,985
191,ovl_Door_Ana,False,1648,1776,0.928,-128,1428
192,ovl_Door_Gerudo,False,1520,1648,0.922,-128,1288
193,ovl_Door_Killer,False,5488,5712,0.961,-224,4845
194,ovl_Door_Shutter,False,8832,9088,0.972,-256,7667
195,ovl_Door_Toki,False,352,352,1.0,0,213
196,ovl_Door_Warp1,False,17056,17696,0.964,-640,14652
197,ovl_Efc_Erupc,False,2784,3104,0.897,-320,2384
198,ovl_Eff_Dust,False,5088,5344,0.952,-256,4219
199,ovl_Effect_Ss_Blast,False,912,1024,0.891,-112,495
200,ovl_Effect_Ss_Bomb,False,1056,1184,0.892,-128,801
201,ovl_Effect_Ss_Bomb2,False,2352,2544,0.925,-192,1939
202,ovl_Effect_Ss_Bubble,False,1152,1296,0.889,-144,1006
203,ovl_Effect_Ss_D_Fire,False,1264,1360,0.929,-96,1068
204,ovl_Effect_Ss_Dead_Db,False,1248,1344,0.929,-96,867
205,ovl_Effect_Ss_Dead_Dd,False,1424,1584,0.899,-160,757
206,ovl_Effect_Ss_Dead_Ds,False,1152,1312,0.878,-160,789
207,ovl_Effect_Ss_Dead_Sound,False,320,384,0.833,-64,253
208,ovl_Effect_Ss_Dt_Bubble,False,1424,1568,0.908,-144,762
209,ovl_Effect_Ss_Dust,False,2096,2192,0.956,-96,1565
210,ovl_Effect_Ss_En_Fire,False,1856,2000,0.928,-144,1323
211,ovl_Effect_Ss_En_Ice,False,2064,2448,0.843,-384,1497
212,ovl_Effect_Ss_Extra,False,960,1120,0.857,-160,785
213,ovl_Effect_Ss_Fcircle,False,1200,1344,0.893,-144,865
214,ovl_Effect_Ss_Fhg_Flash,False,3968,4320,0.919,-352,2712
215,ovl_Effect_Ss_Fire_Tail,False,1792,1936,0.926,-144,1409
216,ovl_Effect_Ss_G_Fire,False,656,640,1.025,16,404
217,ovl_Effect_Ss_G_Magma,False,608,592,1.027,16,350
218,ovl_Effect_Ss_G_Magma2,False,1296,1472,0.88,-176,1099
219,ovl_Effect_Ss_G_Ripple,False,1376,1488,0.925,-112,1168
220,ovl_Effect_Ss_G_Spk,False,1456,1552,0.938,-96,982
221,ovl_Effect_Ss_G_Splash,False,1200,1200,1.0,0,554
222,ovl_Effect_Ss_Hahen,False,1600,1888,0.847,-288,1420
223,ovl_Effect_Ss_HitMark,False,1360,1456,0.934,-96,961
224,ovl_Effect_Ss_Ice_Piece,False,1088,1264,0.861,-176,685
225,ovl_Effect_Ss_Ice_Smoke,False,1216,1472,0.826,-256,1031
226,ovl_Effect_Ss_K_Fire,False,1072,1232,0.87,-160,749
227,ovl_Effect_Ss_Kakera,False,4240,4496,0.943,-256,3721
228,ovl_Effect_Ss_KiraKira,False,1648,1760,0.936,-112,1094
229,ovl_Effect_Ss_Lightning,False,1744,1856,0.94,-112,1332
230,ovl_Effect_Ss_Sibuki,False,1744,1840,0.948,-96,1211
231,ovl_Effect_Ss_Sibuki2,False,816,976,0.836,-160,641
232,ovl_Effect_Ss_Solder_Srch_Ball,False,432,416,1.038,16,220
233,ovl_Effect_Ss_Stick,False,928,1072,0.866,-144,581
234,ovl_Effect_Ss_Stone1,False,912,1056,0.864,-144,719
235,ovl_Elf_Msg,False,1520,3040,0.5,-1520,1322
